Model Number,Slice,Color Code,Gas? (disregard),Char Count,CARTON_DESC,PRODUCT_DESC,LINE_DESC,LENGTH,WIDTH,HEIGHT,WEIGHT,POINTS,BRAND_CD,BRAND_DESC,UPC_CD,Column1,Flat UPC,,backup
FRT17HB3JZ,,Z,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67581 2,012505675812,012505675812,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17HG4DW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74307 8,012505743078,012505743078,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IB3AQ,,Q,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73651 3,012505736513,012505736513,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IB3AT,,T,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73653 7,012505736537,012505736537,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IB3AW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73650 6,012505736506,012505736506,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IB3AZ,,Z,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73652 0,012505736520,012505736520,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IG5AQ,,Q,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73657 5,012505736575,012505736575,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IG5AT,,T,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73659 9,012505736599,012505736599,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IG5AW,,W,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73656 8,012505736568,012505736568,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17IG5AZ,,Z,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73658 2,012505736582,012505736582,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17JRBD,,,Electric,9,18 CUBE SW - GREENVILLE,16' & OVER REFRIG TM,15 & 17 CU FT,2.52,2.69,5.56,198,1.23,F,FRIGIDAIRE,0 12505 65489 3,012505654893,012505654893,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17JRBW,,,Electric,9,18 CUBE SW - GREENVILLE,16' & OVER REFRIG TM,15 & 17 CU FT,2.52,2.69,5.56,198,1.23,F,FRIGIDAIRE,0 12505 65488 6,012505654886,012505654886,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17L3FW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 67105 0,012505671050,012505671050,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17LG3AQ,,Q,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73662 9,012505736629,012505736629,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17LG3AW,,W,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73555 4,012505735554,012505735554,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17MG5AQ,,Q,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73559 2,012505735592,012505735592,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17MG5AW,,W,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73558 5,012505735585,012505735585,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRTB7B4EMB,,B,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 74503 4,012505745034,012505745034,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17B2DQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74353 5,012505743535,012505743535,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17B2DW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74352 8,012505743528,012505743528,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17B5DQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74361 0,012505743610,012505743610,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17B5DW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74360 3,012505743603,012505743603,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BABQ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73866 1,012505738661,012505738661,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BABT,,,Electric,9,17' STATIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.94,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74082 4,012505740824,012505740824,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BABW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73865 4,012505738654,012505738654,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BABZ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73867 8,012505738678,012505738678,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BBBD,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73870 8,012505738708,012505738708,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BBBQ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73869 2,012505738692,012505738692,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BBBT,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74084 8,012505740848,012505740848,,16' & OVER REFRIG TM - 15 & 17 CU FT
